,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
3129,22-01-0335-46,22-003,10,91,escuela en ciencias de la comunicacian ecco ii,"6a. calle 11-29 zona 4 en residenciales san vicente, barrio el chaparron",['78440228'],remberto recinos sarceao,nancy paola martanez medrano,0,3,2,ABIERTA,1,5,1,JUTIAPA
3130,22-01-0336-46,22-003,10,91,colegio particular mixto ganesis,"08 calle 7-33 zona 3, barrio el chaparron",['78446178'],remberto recinos sarceao,alba yesenia alarcon hernandez,0,3,2,ABIERTA,1,0,3,JUTIAPA
3131,22-01-0337-46,22-024,10,91,instituto de educacian diversificada por cooperativa,aldea ciudad pedro alvarado,['54125788'],carlos obdulio orozco reyes,claudia patricia davila ramirez,0,0,0,ABIERTA,1,5,1,JUTIAPA
3132,22-01-0338-46,22-001,10,91,liceo jutiapa,"4a. calle 1-53 zona 1, jutiapa, jutiapa.",['78441008'],cecilia isabel aldecoa casasola de castro,helin betzaida flores alejandro,0,3,2,ABIERTA,1,0,1,JUTIAPA
3133,22-01-0340-46,22-003,10,91,colegio particular mixto genesis,"7a. calle y 8a. avenida 7-49 zona 3, barrio el chaparron",['78446178'],remberto recinos sarceao,alba yesenia alarcon hernandez,0,3,2,ABIERTA,1,0,1,JUTIAPA
3134,22-01-0342-46,22-001,10,91,colegio san francisco,"2a. calle 5-98 zona 3, barrio la federal",['78440300'],cecilia isabel aldecoa casasola de castro,manica victoria velasquez corado,0,3,2,ABIERTA,1,0,3,JUTIAPA
3135,22-01-0350-46,22-003,10,91,colegio particular mixto eben ezer,7ma. calle y 8va. avenida 7-49 zona 3,['30085046'],remberto recinos sarceao,fibi judith lemus hernandez,0,3,2,ABIERTA,1,3,1,JUTIAPA
3136,22-01-0354-46,22-003,10,91,colegio tecnico profesional san cristobal,"5ta. avenida 7-35 zona 1, barrio latino",['78441530'],remberto recinos sarceao,delmy astrid mandez polanco,0,3,2,ABIERTA,1,2,1,JUTIAPA
3137,22-01-0361-46,22-003,10,91,colegio evangalico de educacian integral elim,4ta. calle 2-05 zona 3,['47231479'],remberto recinos sarceao,mirna aracely contreras arana,0,3,2,ABIERTA,1,5,1,JUTIAPA
3138,22-01-0363-46,22-037,10,91,colegio evangalico de educacian integral elim,4ta. calle 2-05 zona 3,['47231479'],sandra ninneth bonilla archila,yerlin indira martanez lorenzana,0,3,2,ABIERTA,1,0,3,JUTIAPA
3139,22-01-0368-46,22-003,10,91,liceo tecnolagico bilingae ganesis,"7a. calle y 8a. avenida 7-49 zona 3, barrio el chaparron",['78446178'],remberto recinos sarceao,alba yesenia alarcon hernandez,0,3,2,ABIERTA,1,0,3,JUTIAPA
3140,22-01-0370-46,22-003,10,91,liceo tecnolagico bilingae ganesis,"7a. calle y 8a. avenida 7-49 zona 3, barrio el chaparon",['78446178'],remberto recinos sarceao,alba yesenia alarcon hernandez,0,3,2,ABIERTA,1,5,1,JUTIAPA
3141,22-01-0372-46,22-003,10,91,colegio genius americano,carretera interamericana kilometro 114.5 aldea cerro gordo,['78286000'],remberto recinos sarceao,heleana maraa garcaa carrillo,0,3,0,ABIERTA,1,2,1,JUTIAPA
